;ano;sigla_uf;id_municipio;populacao
357;2021;TO;1707207;7173
358;2021;TO;1707306;4686
359;2021;TO;1707405;11280
360;2021;TO;1707553;3824
361;2021;TO;1707652;5222
362;2021;TO;1707702;8892
363;2021;TO;1708205;18358
364;2021;TO;1708254;2615
365;2021;TO;1708304;5136
366;2021;TO;1709005;13169
367;2021;TO;1709302;26403
368;2021;TO;1709500;88428
369;2021;TO;1709807;2088
370;2021;TO;1710508;7471
371;2021;TO;1710706;5801
372;2021;TO;1710904;3814
373;2021;TO;1711100;2412
374;2021;TO;1711506;3906
375;2021;TO;1711803;2174
376;2021;TO;1711902;13989
377;2021;TO;1711951;4470
378;2021;TO;1712009;3199
379;2021;TO;1712157;1984
380;2021;TO;1712405;3727
381;2021;TO;1712454;3200
382;2021;TO;1712504;5332
383;2021;TO;1712702;2773
384;2021;TO;1712801;3470
385;2021;TO;1713205;17628
386;2021;TO;1713304;13551
387;2021;TO;1713601;8182
388;2021;TO;1713700;2311
389;2021;TO;1713809;6830
390;2021;TO;1713957;3623
391;2021;TO;1714203;9256
392;2021;TO;1714302;3772
393;2021;TO;1714880;12014
394;2021;TO;1715002;4348
395;2021;TO;1715101;4450
396;2021;TO;1715150;2332
397;2021;TO;1715259;2768
398;2021;TO;1715507;1124
399;2021;TO;1715705;6234
400;2021;TO;1715754;7694
401;2021;TO;1716109;52521
402;2021;TO;1716208;10426
403;2021;TO;1716307;4885
404;2021;TO;1716505;13964
405;2021;TO;1716604;11996
406;2021;TO;1716653;5546
407;2021;TO;1716703;8078
408;2021;TO;1717008;4414
409;2021;TO;1717206;3038
410;2021;TO;1717503;7830
411;2021;TO;1717800;4586
412;2021;TO;1717909;8192
413;2021;TO;1718006;3200
414;2021;TO;1718204;53618
415;2021;TO;1718303;8563
416;2021;TO;1718402;3668
417;2021;TO;1718451;2746
418;2021;TO;1718501;4389
419;2021;TO;1718550;4723
420;2021;TO;1718659;2211
421;2021;TO;1718709;2879
422;2021;TO;1718758;6498
423;2021;TO;1718808;4876
424;2021;TO;1718840;3371
425;2021;TO;1718865;7678
426;2021;TO;1718881;3537
427;2021;TO;1718899;2407
428;2021;TO;1718907;4864
429;2021;TO;1719004;2928
430;2021;TO;1720002;2530
431;2021;TO;1720101;5457
432;2021;TO;1720150;1610
433;2021;TO;1720200;12445
434;2021;TO;1720259;3106
435;2021;TO;1720309;4898
436;2021;TO;1720499;3848
437;2021;TO;1720655;5452
438;2021;TO;1720804;8965
439;2021;TO;1720853;2007
440;2021;TO;1720903;16966
441;2021;TO;1720937;2183
442;2021;TO;1720978;2831
443;2021;TO;1721000;313349
444;2021;TO;1721109;7688
445;2021;TO;1721208;22820
446;2021;TO;1721257;1952
447;2021;TO;1721307;2785
448;2021;TO;1722081;11783
449;2021;TO;1722107;11500
450;2021;MA;2100055;113783
451;2021;MA;2100105;6631
452;2021;MA;2100154;12731
453;2021;MA;2100204;22126
454;2021;MA;2100303;26979
455;2021;MA;2100402;8250
456;2021;MA;2100436;28066
457;2021;MA;2100477;31967
458;2021;MA;2100501;11233
459;2021;MA;2100550;7047
460;2021;MA;2100600;42017
461;2021;MA;2100709;27170
462;2021;MA;2100808;16054
463;2021;MA;2100832;17582
464;2021;MA;2100873;15675
465;2021;MA;2100907;47095
466;2021;MA;2100956;32825
467;2021;MA;2101004;30014
468;2021;MA;2101103;12234
469;2021;MA;2101202;105094
470;2021;MA;2101251;17446
471;2021;MA;2101301;18726
472;2021;MA;2101350;5696
473;2021;MA;2101400;96951
474;2021;MA;2101509;19026
475;2021;MA;2101608;88895
476;2021;MA;2101707;63891
477;2021;MA;2101731;7586
478;2021;MA;2101772;11347
479;2021;MA;2101806;5643
480;2021;MA;2101905;21317
481;2021;MA;2101939;6102
482;2021;MA;2101970;8494
483;2021;MA;2102002;42010
484;2021;MA;2102036;35095
485;2021;MA;2102077;16578
486;2021;MA;2102101;36900
487;2021;MA;2102150;8841
488;2021;MA;2102200;28916
489;2021;MA;2102309;23993
490;2021;MA;2102325;73595
491;2021;MA;2102358;15503
492;2021;MA;2102374;9524
493;2021;MA;2102408;11255
494;2021;MA;2102507;19521
495;2021;MA;2102556;14530
496;2021;MA;2102606;20376
497;2021;MA;2102705;22236
498;2021;MA;2102754;10937
499;2021;MA;2102804;24151
500;2021;MA;2102903;24095
501;2021;MA;2103000;166159
502;2021;MA;2103109;10711
503;2021;MA;2103125;8806
504;2021;MA;2103158;13876
505;2021;MA;2103174;22056
506;2021;MA;2103208;80705
507;2021;MA;2103257;14855
508;2021;MA;2103307;123368
509;2021;MA;2103406;49804
510;2021;MA;2103505;41443
511;2021;MA;2103554;16559
512;2021;MA;2103604;65788
513;2021;MA;2103703;32559
514;2021;MA;2103752;12923
515;2021;MA;2103802;23393
516;2021;MA;2103901;11451
517;2021;MA;2104008;16971
518;2021;MA;2104057;43097
519;2021;MA;2104073;8506
520;2021;MA;2104081;10559
521;2021;MA;2104099;19425
522;2021;MA;2104107;12662
523;2021;MA;2104206;17812
524;2021;MA;2104305;12104
525;2021;MA;2104404;17953
526;2021;MA;2104503;10931
527;2021;MA;2104552;18740
528;2021;MA;2104602;14703
529;2021;MA;2104628;7878
530;2021;MA;2104651;10121
531;2021;MA;2104677;25502
532;2021;MA;2104701;6261
533;2021;MA;2104800;70692
534;2021;MA;2104909;11966
535;2021;MA;2105005;29143
536;2021;MA;2105104;27423
537;2021;MA;2105153;14470
538;2021;MA;2105203;11453
539;2021;MA;2105302;259980
540;2021;MA;2105351;16158
541;2021;MA;2105401;69233
542;2021;MA;2105427;26134
543;2021;MA;2105450;10464
544;2021;MA;2105476;17123
545;2021;MA;2105500;23677
546;2021;MA;2105609;16228
547;2021;MA;2105658;4334
548;2021;MA;2105708;50959
549;2021;MA;2105807;10900
550;2021;MA;2105906;16369
551;2021;MA;2105922;11280
552;2021;MA;2105948;8841
553;2021;MA;2105963;11534
554;2021;MA;2105989;7653
555;2021;MA;2106003;11943
556;2021;MA;2106102;12271
557;2021;MA;2106201;7016
558;2021;MA;2106300;20228
559;2021;MA;2106326;21773
